      Step     Time          Energy         fmax
BFGS:    0 01:13:36    -3756.771634        0.8173
BFGS:    1 01:13:36    -3756.872458        0.1600
BFGS:    2 01:13:36    -3756.876244        0.0817
BFGS:    3 01:13:36    -3756.878280        0.0726
BFGS:    4 01:13:36    -3756.879542        0.0276
BFGS:    5 01:13:36    -3756.879629        0.0144
BFGS:    6 01:13:36    -3756.879657        0.0130
BFGS:    7 01:13:36    -3756.879707        0.0158
BFGS:    8 01:13:36    -3756.879761        0.0165
BFGS:    9 01:13:36    -3756.879797        0.0102
BFGS:   10 01:13:36    -3756.879813        0.0072
BFGS:   11 01:13:36    -3756.879827        0.0075
BFGS:   12 01:13:36    -3756.879849        0.0095
BFGS:   13 01:13:36    -3756.879878        0.0093
BFGS:   14 01:13:37    -3756.879899        0.0070
BFGS:   15 01:13:37    -3756.879907        0.0046
BFGS:   16 01:13:37    -3756.879912        0.0047
BFGS:   17 01:13:37    -3756.879919        0.0081
BFGS:   18 01:13:37    -3756.879933        0.0111
BFGS:   19 01:13:37    -3756.879952        0.0111
BFGS:   20 01:13:37    -3756.879967        0.0068
BFGS:   21 01:13:37    -3756.879976        0.0068
BFGS:   22 01:13:37    -3756.879983        0.0077
BFGS:   23 01:13:37    -3756.879995        0.0091
BFGS:   24 01:13:37    -3756.880016        0.0122
BFGS:   25 01:13:37    -3756.880053        0.0152
BFGS:   26 01:13:37    -3756.880112        0.0146
BFGS:   27 01:13:37    -3756.880194        0.0156
BFGS:   28 01:13:37    -3756.880287        0.0190
BFGS:   29 01:13:37    -3756.880360        0.0163
BFGS:   30 01:13:37    -3756.880391        0.0073
BFGS:   31 01:13:37    -3756.880396        0.0024
BFGS:   32 01:13:37    -3756.880397        0.0011
BFGS:   33 01:13:37    -3756.880397        0.0009
BFGS:   34 01:13:37    -3756.880397        0.0008
BFGS:   35 01:13:37    -3756.880397        0.0006
BFGS:   36 01:13:37    -3756.880397        0.0004
BFGS:   37 01:13:37    -3756.880397        0.0004
BFGS:   38 01:13:38    -3756.880397        0.0004
BFGS:   39 01:13:38    -3756.880397        0.0003
BFGS:   40 01:13:38    -3756.880398        0.0002
BFGS:   41 01:13:38    -3756.880398        0.0001
