      Step     Time          Energy         fmax
BFGS:    0 23:44:20    -5635.113733        0.8537
BFGS:    1 23:44:20    -5635.245878        0.2029
BFGS:    2 23:44:20    -5635.251694        0.1768
BFGS:    3 23:44:20    -5635.255715        0.1339
BFGS:    4 23:44:20    -5635.257866        0.0672
BFGS:    5 23:44:20    -5635.258090        0.0498
BFGS:    6 23:44:20    -5635.258188        0.0404
BFGS:    7 23:44:20    -5635.258318        0.0226
BFGS:    8 23:44:20    -5635.258406        0.0147
BFGS:    9 23:44:20    -5635.258438        0.0113
BFGS:   10 23:44:20    -5635.258452        0.0102
BFGS:   11 23:44:20    -5635.258473        0.0088
