#Temperature	[K]	[K]	[K]
0.0	0.0	0.0	0.0
50.0	57.96796796387404	66.24321944162257	66.3693516591093
100.0	133.29498986345862	135.14991833859713	135.13579695553378
150.0	193.6385012698436	194.00735935396355	193.99926845714631
200.0	245.86623031771126	246.01600632141532	246.01179057530334
250.0	294.7008306950453	294.8383423858359	294.83575676493103
300.0	340.3737666065266	340.53274627109334	340.5309488495752
350.0	382.0904379781334	382.27435416658085	382.27300301046245
400.0	419.51598387061716	419.7216071119463	419.720536749176
450.0	452.841992728193	453.0639931510877	453.0631098361565
500.0	482.54776131311644	482.780254982758	482.77950025011705
550.0	509.1943808069447	509.4318724994382	509.4312084829264
600.0	533.3051365370873	533.5431129907034	533.5425151393333
650.0	555.3151920428496	555.550383411451	555.54983606858
700.0	575.5632125419288	575.7935902954238	575.7930836846801
750.0	594.3031984648584	594.5278103712087	594.5273384767406
800.0	611.7229737042297	611.9417073118832	611.9412664124198
850.0	627.9623166550665	628.1756550383136	628.175242731205
900.0	643.127887582506	643.3366930660777	643.3363076483622
950.0	657.3043534485502	657.5096940477499	657.5093341459612
1000.0	670.5621233182582	670.7651436445043	670.7648080094979
